Name of Bird,Genus,Species,Site,Date first seen,City (optional),County (optional),State,Country ,Continent,Comments,,,,,
Black-faced Grassquit,Tiaris,bicolor,Guadeloupe,7/21/1981, , , ,Guadeloupe,North America,  ,  ,  ,  ,  ,  
Lesser Antillean Bullfinch,Loxigilla,noctis,Guadeloupe,7/21/1981, , , ,Guadeloupe,North America,  ,  ,  ,  ,  ,  
Magnificent Frigatebird,Fregata,magnificens,Guadeloupe,7/22/1981, , , ,Guadeloupe,North America,  ,  ,  ,  ,  ,  
Carib Grackle,Quiscalus,lugubris,Guadeloupe,7/22/1981, , , ,Guadeloupe,North America,  ,  ,  ,  ,  ,  
Blue Grouse,Dendragapus,obscurus,Lassen NP,8/6/1982, ,Lassen NP,California,United States,North America,  ,  ,  ,  ,  ,  
Brandt's Cormorant,Phalacrocorax,penicillatus,Half Moon Bay,2/1/1983,Half Moon Bay, ,California,United States,North America,  ,  ,  ,  ,  ,  
Eurasian Wigeon,Anas,penelope,Marin,2/10/1983, ,Marin,California,United States,North America,  ,  ,  ,  ,  ,  
Black Turnstone,Arenaria,melanocephala,Marin,2/10/1983, ,Marin,Illinois,United States,North America,  ,  ,  ,  ,  ,  
Barred Dove,Geopelia,maugei,Maui,4/24/1983, ,Maui,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Common Myna,Acridotheres,tristis,Maui,4/24/1983, ,Maui,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
American Golden-Plover,Pluvialis,dominica,Maui,4/25/1983, ,Maui,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Japanese White-eye,Zosterops,japonicus,Maui,4/25/1983, ,Maui,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Chukar,Alectoris,chukar,Mt. Haleakala,4/26/1983, ,Maui,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Short-eared Owl,Asio,flammeus,Mt. Haleakala,4/26/1983, ,Maui,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Sky Lark,Alauda,arvensis,Mt. Haleakala,4/26/1983, ,Maui,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Spotted Dove,Streptopelia,chinensis,Maui,4/27/1983, ,Maui,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Nutmeg Mannikin,Lonchura,punctulata,Maui,4/27/1983, ,Maui,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Hawaiian Duck,Anas,wyvilliana,Hanalei Valley,4/28/1983, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Common Moorhen,Gallinula,chloropus,Hanalei Valley,4/28/1983, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Red-tailed Tropicbird,Phaethon,rubricauda,Kilauea Lighthouse,4/30/1983, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
White-tailed Tropicbird,Phaethon,lepturus,Kilauea Lighthouse,4/30/1983, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Red-footed Booby,Sula,sula,Kilauea Lighthouse,4/30/1983, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Hawaiian Coot,Fulica,alai,Hanalei Valley,4/30/1983, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Wandering Tattler,Heterosceles,incanus,Kauai,4/30/1983, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Black-headed Munia,Lonchura,malacca,Kauai,4/30/1983, ,Kauai,Hawaii,US-Hawaii,Pacific Ocean,  ,  ,  ,  ,  ,  
Black-crowned Night-Heron,Nycticorax,nycticorax,Foster City,8/1/1983,Foster City, ,California,United States,North America,  ,  ,  ,  ,  ,  
Northern Shoveler,Anas,clypeata,Newark Refuge,11/27/1983, ,SF Bay NWR,California,United States,North America,  ,  ,  ,  ,  ,  
Western Bluebird,Sialia,mexicana,Napa,12/26/1983,Napa, ,California,United States,North America,  ,  ,  ,  ,  ,  
Tundra Swan,Cygnus,columbianus,California,12/27/1983, , ,California,United States,North America,  ,  ,  ,  ,  ,  
White-tailed Kite,Elanus,leucurus,California,12/27/1983, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Sandhill Crane,Grus,canadensis,California,12/27/1983, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Dunlin,Calidris,alpina,Newark Refuge,3/1/1984, ,SF Bay NWR,California,United States,North America,  ,  ,  ,  ,  ,  
Cinnamon Teal,Anas,cyanoptera,Baylands Refuge,3/11/1984, ,SF Bay NWR,California,United States,North America,  ,  ,  ,  ,  ,  
Greater Scaup,Aythya,marila,Baylands Refuge,3/11/1984, ,SF Bay NWR,California,United States,North America,  ,  ,  ,  ,  ,  
Clapper Rail,Rallus,longirostris,Baylands Refuge,3/11/1984, ,SF Bay NWR,California,United States,North America,  ,  ,  ,  ,  ,  
Marsh Wren,Cistothorus,palustris,Baylands Refuge,3/11/1984, ,SF Bay NWR,California,United States,North America,  ,  ,  ,  ,  ,  
Common Murre,Uria,aalge,California,5/20/1984, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Pelagic Cormorant,Phalacrocorax,pelagicus,Channel Islands,5/30/1984, ,,California,United States,North America,  ,  ,  ,  ,  ,  
Pigeon Guillemot,Cepphus,columba,Channel Islands,5/30/1984, ,Channel Islands,California,United States,North America,  ,  ,  ,  ,  ,  
Band-tailed Pigeon,Columba,fasciata,California,5/31/1984, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Golden Eagle,Aquila,chrysaetos,Kings Canyon NP,8/18/1984, ,Kings Canyon NP,California,United States,North America,  ,  ,  ,  ,  ,  
Whimbrel,Numenius,phaeopus,Ano Nuevo,10/13/1984, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Sora,Porzana,carolina,Coyote Hills RP,10/20/1984, ,Coyote Hills RP,California,United States,North America,  ,  ,  ,  ,  ,  
White-throated Swift,Aeronautes,saxatalis,Coyote Hills RP,10/20/1984, ,Coyote Hills RP,California,United States,North America,  ,  ,  ,  ,  ,  
Say's Phoebe,Sayornis,saya,Coyote Hills RP,10/20/1984, ,Coyote Hills RP,California,United States,North America,  ,  ,  ,  ,  ,  
Western Meadowlark,Sturnella,neglecta,Coyote Hills RP,10/20/1984, ,Coyote Hills RP,California,United States,North America,  ,  ,  ,  ,  ,  
Lesser Goldfinch,Carduelis,psaltria,Coyote Hills RP,10/20/1984, ,Coyote Hills RP,California,United States,North America,  ,  ,  ,  ,  ,  
American Pipit,Anthus,rubescens,Coyote Hills RP,12/9/1984, ,Coyote Hills RP,California,United States,North America,  ,  ,  ,  ,  ,  
Gambel's Quail,Callipepla,gambelii,Sonora Desert Mus.,12/24/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Inca Dove,Columbina,inca,Sonora Desert Mus.,12/24/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Greater Roadrunner,Geococcyx,californianus,Tucson,12/24/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Gila Woodpecker,Melanerpes,uropygialis,Sonora Desert Mus.,12/24/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Ladder-backed Woodpecker,Picoides,scalaris,Sonora Desert Mus.,12/26/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Gilded Flicker,Colaptes,chrysoides,Tucson,12/27/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Ash-throated Flycatcher,Myiarchus,cinerascens,Tucson,12/27/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Mexican Jay,Aphelocoma,ultramarina,Madera Canyon,12/28/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Cactus Wren,Campylorhynchus,brunneicapillus,Tucson,12/29/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Bridled Titmouse,Baeolophus,wollweberi,Sabino Canyon,12/29/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Verdin,Auriparus,flaviceps,Tucson,12/29/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Chihuahuan Raven,Corvus,cryptoleucus,Tucson,12/29/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Bendire's Thrasher,Toxostoma,bendirei,Sonora Desert Mus.,12/30/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Curve-billed Thrasher,Toxostoma,curvirostre,Sonora Desert Mus.,12/30/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Phainopepla,Phainopepla,nitens,Tucson,12/31/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Green-tailed Towhee,Pipilo,chlorurus,Saguaro NM,12/31/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Rufous-crowned Sparrow,Aimophila,ruficeps,Saguaro NM,12/31/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Rufous-winged Sparrow,Aimophila,carpalis,Saguaro NM,12/31/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Black-throated Sparrow,Amphispiza,bilineata,Saguaro NM,12/31/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Yellow-eyed Junco,Junco,phaeonotus,Madera Canyon,12/31/1984,Tucson, ,Arizona,United States,North America,  ,  ,  ,  ,  ,  
Western Sandpiper,Calidris,mauri,Baylands Refuge,1/10/1985, ,SF Bay NWR,California,United States,North America,  ,  ,  ,  ,  ,  
Canvasback,Aythya,valisineria,Point Reyes NS,2/18/1985, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Allen's Hummingbird,Selasphorus,sasin,Point Reyes NS,2/18/1985, ,Point Reyes NS,California,United States,North America,  ,  ,  ,  ,  ,  
Yellow-rumped Warbler,Dendroica,coronata,Point Reyes NS,2/18/1985, ,Point Reyes NS,California,United States,North America,auduboni (memorabilis),  ,  ,  ,  ,  
White-headed Woodpecker,Picoides,albolarvatus,Lake Tahoe,2/23/1985, ,Lake Tahoe,California,United States,North America,  ,  ,  ,  ,  ,  
Eared Grebe,Podiceps,nigricollis,Pescadero Marsh,3/9/1985, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Red-breasted Merganser,Mergus,serrator,Pescadero Marsh,3/9/1985, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Black-bellied Plover,Pluvialis,squatarola,Pescadero Marsh,3/9/1985, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Greater Yellowlegs,Tringa,melanoleuca,Pescadero Marsh,3/9/1985, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Long-billed Curlew,Numenius,americanus,Belmont Slough,4/1/1985, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Gadwall,Anas,strepera,Baylands Refuge,4/6/1985, ,SF Bay NWR,California,United States,North America,  ,  ,  ,  ,  ,  
Chestnut-backed Chickadee,Poecile,rufescens,Edgewood Cnty Park,4/7/1985, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Dark-eyed Junco,Junco,hyemalis,Edgewood Cnty Park ,4/7/1985, , ,California,United States,North America,  oreganus,  ,  ,  ,  ,  
Caspian Tern,Sterna,caspia,MenloParkBayfront,4/14/1985, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Forster's Tern,Sterna,forsteri,Foster City,4/14/1985,Foster City, ,California,United States,North America,  ,  ,  ,  ,  ,  
Lewis's Woodpecker,Melanerpes,lewis,Mines Road,4/21/1985,Livermore, ,California,United States,North America,  ,  ,  ,  ,  ,  
Black-headed Grosbeak,Pheucticus,melanocephalus,Mines Road,4/21/1985,Livermore, ,California,United States,North America,  ,  ,  ,  ,  ,  
Bullock's Oriole,Icterus,bullockii,Mines Road,4/21/1985,Livermore, ,California,United States,North America,  ,  ,  ,  ,  ,  
Wilson's Phalarope,Phalaropus,tricolor,Mono Lake,5/15/1985, ,Mono Lake,California,United States,North America,  ,  ,  ,  ,  ,  
Western Grebe,Aechmophorus,occidentalis,SF Bay NWR,11/1/1985, ,,California,United States,North America,  ,  ,  ,  ,  ,  
Ross's Goose,Chen,rossii,Sacramento NWR,11/1/1986, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Bald Eagle,Haliaeetus,leucocephalus,Blackwater NWR,12/1/1986, , ,Delaware,United States,North America,  ,  ,  ,  ,  ,  
Rufous Hummingbird,Selasphorus,rufus,4989 Northdale Dr.,3/1/1987,Fremont, ,California,United States,North America,  ,  ,  ,  ,  ,  
Burrowing Owl,Athene,cunicularia,California,5/1/1987, , ,California,United States,North America,  ,  ,  ,  ,  ,  
Black Swan,Cygnus,atratus,St. James Park,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Greylag Goose,Anser,anser,St. James Park,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Ruddy Shelduck,Tadorna,ferruginea,St. James Park,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Red-crested Pochard,Netta,rufina,St. James Park,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Common Pochard,Aythya,ferina,St. James Park,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Tufted Duck,Aythya,fuligula,St. James Park,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Kestrel,Falco,tinnunculus,London,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Coot,Fulica,atra,St. James Park,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Black-headed Gull,Larus,ridibundus,St. James Park,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Stock Pigeon,Columba,oenas,London,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Common Wood-Pigeon,Columba,palumbus,St. James Park,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Common Swift,Apus,apus,London,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Great Spotted Woodpecker,Dendrocopos,major,Cam River,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Common House-Martin,Delichon,urbica,Cam River,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Blackbird,Turdus,merula,London,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Song Thrush,Turdus,philomelos,Cam River,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
European Robin,Erithacus,rubecula,Cam River,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Blue Tit,Cyanistes,caeruleus,London,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Magpie,Pica,pica,London,7/1/1987,London, , ,United Kingdom,Eurasia,  ,  ,  ,  ,  ,  
European Shag,Phalacrocorax,aristotelis,Old Head,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Gray Heron,Ardea,cinerea,Old Head,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Oystercatcher,Haematopus,ostralegus,Charles Fort,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Great Black-backed Gull,Larus,marinus,Charles Fort,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Black-legged Kittiwake,Rissa,tridactyla,Old Head,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Razorbill,Alca,torda,Old Head,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Collared-Dove,Streptopelia,decaocto,Charles Fort,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Stonechat,Saxicola,rubicola,Old Head,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Jackdaw,Corvus,monedula,Charles Fort,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Rook,Corvus,frugilegus,Charles Fort,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Yellowhammer,Emberiza,citrinella,Charles Fort,7/6/1987,Kinsale, , ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Northern Gannet,Morus,bassanus,Dingle Peninsula,7/7/1987, ,, ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
White Wagtail,Motacilla,alba,Dingle Peninsula,7/7/1987, ,Dingle Peninsula, ,Ireland,Eurasia,  ,  ,  ,  ,  ,  
Common Redstart,Phoenicurus,phoenicurus,Rothenburg,7/7/1987, , , ,Germany,Eurasia,  ,  ,  ,  ,  ,  
Black Redstart,Phoenicurus,ochruros,Salzburg,7/10/1987,Salzburg, , ,Austria,Eurasia,  ,  ,  ,  ,  ,  
Long-tailed Tit,Aegithalos,caudatus,Salzburg,7/10/1987,Salzburg, , ,Austria,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Nuthatch,Sitta,europaea,Salzburg,7/10/1987,Salzburg, , ,Austria,Eurasia,  ,  ,  ,  ,  ,  
Red-billed Chough,Pyrrhocorax,pyrrhocorax,Salzburg,7/10/1987,Salzburg, , ,Austria,Eurasia,  ,  ,  ,  ,  ,  
Carrion Crow,Corvus,corone,Bologna,7/10/1987, , , ,Italy,Eurasia,  ,  ,  ,  ,  ,  
European Greenfinch,Carduelis,chloris,Salzburg,7/10/1987,Salzburg, , ,Austria,Eurasia,  ,  ,  ,  ,  ,  
Chaffinch,Fringilla,coelebs,Paladin Ruins,7/15/1987, , , ,Italy,Eurasia,  ,  ,  ,  ,  ,  
European Goldfinch,Carduelis,carduelis,Paladin Ruins,7/15/1987, , , ,Italy,Eurasia,  ,  ,  ,  ,  ,  
Black Kite,Milvus,migrans,Jardin Anglais,7/16/1987,Geneva, , ,Switzerland,Eurasia,  ,  ,  ,  ,  ,  
Spotted Flycatcher,Muscicapa,striata,"Aare River, Interlaken",7/16/1987, , , ,Switzerland,Eurasia,  ,  ,  ,  ,  ,  
Short-toed Treecreeper,Certhia,brachydactyla,Jardin Anglais,7/16/1987, Geneva, , ,Switzerland,Eurasia,  ,  ,  ,  ,  ,  
Yellow-billed Chough,Pyrrhocorax,graculus,Switzerland,7/16/1987, , , ,Switzerland,Eurasia,  ,  ,  ,  ,  ,  
Water Pipit,Anthus,spinoletta,Wengen,7/18/1987,Wengen, , ,Switzerland,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Nutcracker,Nucifraga,caryocatactes,Wengen,7/18/1987,Wengen, , ,Switzerland,Eurasia,  ,  ,  ,  ,  ,  
European Serin,Serinus,serinus,Wengen,7/18/1987,Wengen, , ,Switzerland,Eurasia,  ,  ,  ,  ,  ,  
Winter Wren,Troglodytes,troglodytes,Chinon,7/24/1987, , , ,France,Eurasia,  ,  ,  ,  ,  ,  
Little Grebe,Tachybaptus,ruficollis,Azay Le Rideaux,7/25/1987, , , ,France,Eurasia,  ,  ,  ,  ,  ,  
Great Crested Grebe,Podiceps,cristatus,Azay Le Rideaux,7/25/1987, , , ,France,Eurasia,  ,  ,  ,  ,  ,  
Willow Warbler,Phylloscopus,trochilus,Chenonceaux,7/26/1987, , , ,France,Eurasia,  ,  ,  ,  ,  ,  
Little Egret,Egretta,garzetta,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Mandarin Duck,Aix,galericulata,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Spot-billed Duck,Anas,poecilorhyncha,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Black-tailed Gull,Larus,crassirostris,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Oriental Turtle-Dove,Streptopelia,orientalis,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Pygmy Woodpecker,Dendrocopos,kizuki,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Brown-eared Bulbul,Ixos,amaurotis,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Great Tit,Parus,major,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Varied Tit,Sittiparus,varius,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Azure-winged Magpie,Cyanopica,cyana,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Large-billed Crow,Corvus,macrorhynchos,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Hawfinch,Coccothraustes,coccothraustes,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Eurasian Tree Sparrow,Passer,montanus,Tokyo,11/1/1987,Tokyo, , ,Japan,Eurasia,  ,  ,  ,  ,  ,  
Virginia Rail,Rallus,limicola,Lake Elizabeth,10/1/1988,Fremont, ,California,United States,North America,  ,  ,  ,  ,  ,  
Brant,Branta,bernicla,Shinnecock Bay,11/1/1988, ,Suffolk,New York,United States,North America,  ,  ,  ,  ,  ,  
Costa's Hummingbird,Calypte,costae,Wild Animal Park,3/1/1989,San Diego, ,California,United States,North America,  ,  ,  ,  ,  ,  
Little Blue Heron,Egretta,caerulea,Everglades NP,3/1/1990, ,,Florida,United States,North America,  ,  ,  ,  ,  ,  
Cattle Egret,Bubulcus,ibis,Everglades NP,3/1/1990, ,,Florida,United States,North America,  ,  ,  ,  ,  ,  
White Ibis,Eudocimus,albus,Everglades NP,3/1/1990, ,,Florida,United States,North America,  ,  ,  ,  ,  ,  
Roseate Spoonbill,Ajaia,ajaja,Everglades NP,3/1/1990, ,,Florida,United States,North America,  ,  ,  ,  ,  ,  
Swallow-tailed Kite,Elanoides,forficatus,Everglades NP,3/1/1990, ,Everglades NP,Florida,United States,North America,  ,  ,  ,  ,  ,  
Smooth-billed Ani,Crotophaga,ani,Everglades NP,3/1/1990, ,Everglades NP,Florida,United States,North America,  ,  ,  ,  ,  ,  
White-eyed Vireo,Vireo,griseus,Everglades NP,3/1/1990, ,Everglades NP,Florida,United States,North America,  ,  ,  ,  ,  ,  
Prairie Warbler,Dendroica,discolor,Everglades NP,3/1/1990, ,Everglades NP,Florida,United States,North America,  ,  ,  ,  ,  ,  
Palm Warbler,Dendroica,palmarum,Everglades NP,3/1/1990, ,Everglades NP,Florida,United States,North America,  ,  ,  ,  ,  ,  
Painted Bunting,Passerina,ciris,Everglades NP,3/1/1990, ,Everglades NP,Florida,United States,North America,  ,  ,  ,  ,  ,  
Barrow's Goldeneye,Bucephala,islandica,Grand Teton NP,8/1/1994, ,Grand Teton NP,Wyoming,United States,North America,  ,  ,  ,  ,  ,  
Calliope Hummingbird,Stellula,calliope,Grand Teton NP,8/1/1994, ,Grand Teton NP,Wyoming,United States,North America,  ,  ,  ,  ,  ,  
Three-toed Woodpecker,Picoides,tridactylus,Grand Teton NP,8/1/1994, ,Grand Teton NP,Wyoming,United States,North America,  ,  ,  ,  ,  ,  
